2025-03-03 09:24:24 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.34355%
2025-03-03 09:24:29 - CPU Usage: %Cpu(s):  1.0 us,  2.9 sy,  0.0 ni, 96.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.34509%
2025-03-03 09:24:35 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.34506%
2025-03-03 09:24:40 - CPU Usage: %Cpu(s):  0.0 us,  2.0 sy,  0.0 ni, 98.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.3466%
2025-03-03 09:24:45 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.34658%
2025-03-03 09:24:50 - CPU Usage: %Cpu(s):  1.9 us,  1.0 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.34814%
2025-03-03 09:24:55 - CPU Usage: %Cpu(s):  0.0 us,  1.0 sy,  0.0 ni, 99.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.31377%
2025-03-03 09:25:00 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.31684%
2025-03-03 09:25:06 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.32381%
2025-03-03 09:25:11 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.32378%
2025-03-03 09:25:16 - CPU Usage: %Cpu(s):  1.9 us,  1.0 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.32534%
2025-03-03 09:25:21 - CPU Usage: %Cpu(s):  1.9 us,  1.9 sy,  0.0 ni, 95.2 id,  1.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.32846%
2025-03-03 09:25:26 - CPU Usage: %Cpu(s):  0.0 us,  2.0 sy,  0.0 ni, 97.1 id,  1.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.32844%
2025-03-03 09:25:32 - CPU Usage: %Cpu(s):  1.9 us,  1.9 sy,  0.0 ni, 96.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.32844%
2025-03-03 09:25:37 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.32836%
2025-03-03 09:25:42 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.33146%
2025-03-03 09:25:47 - CPU Usage: %Cpu(s):  0.0 us,  1.0 sy,  0.0 ni, 99.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.33144%
2025-03-03 09:25:52 - CPU Usage: %Cpu(s):  0.0 us,  2.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.33295%
2025-03-03 09:25:58 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.26147%
2025-03-03 09:26:03 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.27705%
2025-03-03 09:26:08 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.27705%
2025-03-03 09:26:13 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.27705%
2025-03-03 09:26:18 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.27705%
2025-03-03 09:26:24 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.27705%
2025-03-03 09:26:29 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.27705%
2025-03-03 09:26:34 - CPU Usage: %Cpu(s):  1.0 us,  0.0 sy,  0.0 ni, 99.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.27861%
2025-03-03 09:26:39 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.28171%
2025-03-03 09:26:44 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.28169%
2025-03-03 09:26:50 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.28481%
2025-03-03 09:26:55 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.25022%
2025-03-03 09:27:00 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.25332%
2025-03-03 09:27:05 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.26268%
2025-03-03 09:27:10 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.26266%
2025-03-03 09:27:16 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.26729%
2025-03-03 09:27:21 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.26724%
2025-03-03 09:27:26 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.27036%
2025-03-03 09:27:31 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.27502%
2025-03-03 09:27:36 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.27812%
2025-03-03 09:27:42 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.28592%
2025-03-03 09:27:47 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 97.1 id,  1.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.28902%
