PING 10.113.50.100 (10.113.50.100) 56(84) bytes of data.
64 bytes from 10.113.50.100: icmp_seq=82 ttl=62 time=0.628 ms
64 bytes from 10.113.50.100: icmp_seq=83 ttl=62 time=0.609 ms
64 bytes from 10.113.50.100: icmp_seq=84 ttl=62 time=0.625 ms
64 bytes from 10.113.50.100: icmp_seq=85 ttl=62 time=0.614 ms
64 bytes from 10.113.50.100: icmp_seq=86 ttl=62 time=0.612 ms
64 bytes from 10.113.50.100: icmp_seq=87 ttl=62 time=0.608 ms
64 bytes from 10.113.50.100: icmp_seq=88 ttl=62 time=0.609 ms
64 bytes from 10.113.50.100: icmp_seq=89 ttl=62 time=0.612 ms
64 bytes from 10.113.50.100: icmp_seq=90 ttl=62 time=0.608 ms
64 bytes from 10.113.50.100: icmp_seq=91 ttl=62 time=0.602 ms
64 bytes from 10.113.50.100: icmp_seq=92 ttl=62 time=0.603 ms
64 bytes from 10.113.50.100: icmp_seq=93 ttl=62 time=0.615 ms
64 bytes from 10.113.50.100: icmp_seq=94 ttl=62 time=0.545 ms
64 bytes from 10.113.50.100: icmp_seq=95 ttl=62 time=0.554 ms
64 bytes from 10.113.50.100: icmp_seq=96 ttl=62 time=0.613 ms
64 bytes from 10.113.50.100: icmp_seq=97 ttl=62 time=0.513 ms
64 bytes from 10.113.50.100: icmp_seq=98 ttl=62 time=0.606 ms
64 bytes from 10.113.50.100: icmp_seq=99 ttl=62 time=0.607 ms

--- 10.113.50.100 ping statistics ---
99 packets transmitted, 99 received, 0% packet loss, time 100322ms
rtt min/avg/max/mdev = 0.410/0.585/0.823/0.056 ms
